number,value,datetime_start,datetime_complete,duration,params_base_estimator__bagging_fraction,params_base_estimator__colsample_bynode,params_base_estimator__colsample_bytree,params_base_estimator__feature_fraction,params_base_estimator__max_depth,params_base_estimator__min_child_samples,params_base_estimator__min_data_in_leaf,params_base_estimator__n_estimators,params_base_estimator__num_leaves,params_base_estimator__reg_alpha,params_base_estimator__reg_lambda,params_base_estimator__subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_mean_train_score,user_attrs_split0_test_score,user_attrs_split0_train_score,user_attrs_split1_test_score,user_attrs_split1_train_score,user_attrs_split2_test_score,user_attrs_split2_train_score,user_attrs_split3_test_score,user_attrs_split3_train_score,user_attrs_split4_test_score,user_attrs_split4_train_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,user_attrs_std_train_score,state
0,-0.127699984,36:29.1,41:06.1,0 days 00:04:37.021310,0.745410442,0.631912879,0.776422587,0.676650381,3,15,8,2583,26,0.009099917,0.004603699,0.754287547,55.29751048,0.031722593,-0.127699984,-0.005103288,-0.112921335,-0.004362806,-0.140669764,-0.006721608,-0.167170785,-0.004502532,-0.136334549,-0.00500656,-0.081403485,-0.004922936,2.936651257,0.001678863,0.028853039,0.000844993,COMPLETE
1,-0.153053414,36:29.1,48:17.9,0 days 00:11:48.791134,0.620573761,0.795461827,0.540473234,0.576544267,1,13,2,8876,45,0.003978045,0.002031025,0.915311307,141.1953389,0.12210331,-0.153053414,-0.013376742,-0.149119539,-0.011646242,-0.197630448,-0.017278802,-0.200332838,-0.013861576,-0.123956518,-0.012376419,-0.094227728,-0.011720671,58.87043456,0.049766758,0.041340106,0.002107083,COMPLETE
2,-0.134541248,36:29.1,42:20.3,0 days 00:05:51.147664,0.909529063,0.783400957,0.931866625,0.951243846,2,9,1,3813,77,0.005355511,0.003970798,0.679334459,70.10369363,0.035480213,-0.134541248,-0.004522358,-0.116698509,-0.004098508,-0.164759499,-0.003723608,-0.177053329,-0.005836028,-0.127519007,-0.0057559,-0.086675899,-0.003197747,7.954874784,0.008864028,0.032799959,0.001078851,COMPLETE
3,-0.131313005,36:29.1,48:11.8,0 days 00:11:42.716488,0.777858002,0.837884906,0.750538075,0.503213375,5,9,1,9503,75,0.005128161,0.002472133,0.586089643,140.4705638,0.020280695,-0.131313005,-0.003737594,-0.108352596,-0.003318636,-0.15201468,-0.002778246,-0.184594692,-0.002663046,-0.124073296,-0.004849631,-0.087529762,-0.005078408,54.66290304,0.009313072,0.033953096,0.001028099,COMPLETE
4,-0.132471277,36:29.1,41:32.3,0 days 00:05:03.159234,0.599556909,0.761622927,0.505099873,0.758407322,18,2,2,1408,75,0.001358477,0.002122071,0.604749866,60.51799912,0.033980703,-0.132471277,-0.001769157,-0.111223891,-0.001302833,-0.171311068,-0.001874608,-0.163741751,-0.001901723,-0.12772593,-0.00168023,-0.088353744,-0.002086392,1.513557303,0.003711991,0.031326341,0.000266345,COMPLETE
5,-0.13187005,36:29.1,39:30.4,0 days 00:03:01.310280,0.61170021,0.743529643,0.517787322,0.740482301,2,2,1,1286,19,0.00226929,0.001421869,0.900201587,36.10540104,0.043213749,-0.13187005,-0.003345912,-0.107360992,-0.004205807,-0.167306502,-0.001481772,-0.181990404,-0.003336741,-0.117141343,-0.004876785,-0.085551007,-0.002828457,0.836225172,0.009463101,0.036690256,0.001168405,COMPLETE
6,-0.148493102,36:29.1,41:09.3,0 days 00:04:40.133551,0.541708554,0.824886056,0.500116638,0.958940482,1,5,2,2560,15,0.006281422,0.001656847,0.623542215,55.72762814,0.068390417,-0.148493102,-0.022458963,-0.145941012,-0.020310629,-0.192847128,-0.025008535,-0.193105593,-0.02231504,-0.122932417,-0.020545122,-0.08763936,-0.024115487,1.024655196,0.004057038,0.040793612,0.001873138,COMPLETE
7,-0.153255854,36:29.1,46:57.7,0 days 00:10:28.548560,0.980637433,0.590664448,0.609269662,0.914520262,1,1,2,8403,74,0.001179666,0.001111748,0.740421477,125.068725,0.1464293,-0.153255854,-0.010154246,-0.15208512,-0.009349047,-0.199181233,-0.011798489,-0.197423377,-0.009921517,-0.123298591,-0.011757767,-0.094290947,-0.00794441,42.25700608,0.058818403,0.041074516,0.001473818,COMPLETE
8,-0.126371306,39:30.4,42:49.6,0 days 00:03:19.194861,0.783153494,0.698827199,0.835190239,0.763982553,4,4,8,1710,46,0.002693221,0.001153143,0.82714016,39.73920994,0.029060459,-0.126371306,-0.002624746,-0.114432949,-0.003233444,-0.147076914,-0.003530177,-0.16543694,-0.001376813,-0.126186053,-0.003168068,-0.078723673,-0.001815228,6.023779782,0.004096275,0.029555716,0.00086002,COMPLETE
9,-0.132728591,41:06.1,43:25.9,0 days 00:02:19.824434,0.69210634,0.730361163,0.652962023,0.99380893,8,1,4,1248,47,0.006995414,0.005456667,0.877522242,27.88697405,0.021063328,-0.132728591,-0.004097164,-0.118548861,-0.002962205,-0.157321827,-0.004500837,-0.170483073,-0.005018645,-0.130406753,-0.006135165,-0.08688244,-0.001868965,4.569003906,0.002346864,0.029456929,0.001511194,COMPLETE
